         #Time  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM
 1502285559.88     0     38.41      0.00      4.54     1     38.41      0.00      4.54     2     38.41      0.00      4.54     3     38.41      0.00      4.54     4     38.41      0.00      4.54     5     38.41      0.00      4.54     6     38.41      0.00      4.54     7     38.41      0.00      4.54     8     38.41      0.00      4.54     9     38.41      0.00      4.54    10     38.40      0.00      4.54    11     38.40      0.00      4.54    12     36.48      0.00      4.91    13     36.48      0.00      4.91    14     36.48      0.00      4.91    15     36.48      0.00      4.91    16     36.48      0.00      4.91    17     36.48      0.00      4.91    18     36.48      0.00      4.91    19     36.48      0.00      4.91    20     36.48      0.00      4.91    21     36.48      0.00      4.91    22     36.48      0.00      4.91    23     36.48      0.00      4.91
 1502285559.98     0     38.37      0.00      4.37     1     38.37      0.00      4.37     2     38.37      0.00      4.37     3     38.37      0.00      4.37     4     38.37      0.00      4.37     5     38.37      0.00      4.37     6     38.37      0.00      4.37     7     38.37      0.00      4.37     8     38.37      0.00      4.37     9     38.37      0.00      4.37    10     38.37      0.00      4.37    11     38.37      0.00      4.37    12     36.63      0.00      4.72    13     36.63      0.00      4.72    14     36.63      0.00      4.72    15     36.63      0.00      4.72    16     36.63      0.00      4.72    17     36.63      0.00      4.72    18     36.63      0.00      4.72    19     36.64      0.00      4.72    20     36.64      0.00      4.72    21     36.64      0.00      4.72    22     36.64      0.00      4.72    23     36.64      0.00      4.72
 1502285560.08     0     38.70      0.00      4.50     1     38.70      0.00      4.50     2     38.70      0.00      4.50     3     38.70      0.00      4.50     4     38.70      0.00      4.50     5     38.70      0.00      4.50     6     38.70      0.00      4.50     7     38.70      0.00      4.50     8     38.70      0.00      4.50     9     38.70      0.00      4.50    10     38.70      0.00      4.50    11     38.70      0.00      4.50    12     36.34      0.00      4.73    13     36.34      0.00      4.73    14     36.34      0.00      4.73    15     36.34      0.00      4.73    16     36.34      0.00      4.73    17     36.34      0.00      4.73    18     36.34      0.00      4.73    19     36.34      0.00      4.73    20     36.34      0.00      4.73    21     36.34      0.00      4.73    22     36.34      0.00      4.73    23     36.34      0.00      4.73
 1502285560.18     0     38.35      0.00      4.33     1     38.35      0.00      4.33     2     38.35      0.00      4.33     3     38.35      0.00      4.33     4     38.35      0.00      4.33     5     38.35      0.00      4.33     6     38.35      0.00      4.33     7     38.35      0.00      4.33     8     38.35      0.00      4.33     9     38.35      0.00      4.33    10     38.35      0.00      4.33    11     38.35      0.00      4.33    12     36.29      0.00      4.70    13     36.29      0.00      4.70    14     36.29      0.00      4.70    15     36.29      0.00      4.70    16     36.29      0.00      4.70    17     36.29      0.00      4.70    18     36.29      0.00      4.70    19     36.29      0.00      4.70    20     36.29      0.00      4.70    21     36.29      0.00      4.70    22     36.29      0.00      4.70    23     36.29      0.00      4.70
 1502285560.28     0     38.34      0.00      4.37     1     38.34      0.00      4.37     2     38.34      0.00      4.37     3     38.34      0.00      4.37     4     38.34      0.00      4.37     5     38.34      0.00      4.37     6     38.34      0.00      4.37     7     38.34      0.00      4.37     8     38.34      0.00      4.37     9     38.34      0.00      4.37    10     38.34      0.00      4.37    11     38.34      0.00      4.37    12     36.30      0.00      4.68    13     36.30      0.00      4.68    14     36.29      0.00      4.68    15     36.30      0.00      4.68    16     36.66      0.00      4.68    17     36.66      0.00      4.74    18     36.66      0.00      4.74    19     36.66      0.00      4.74    20     36.66      0.00      4.74    21     36.66      0.00      4.74    22     36.66      0.00      4.74    23     36.66      0.00      4.74
 1502285560.38     0     38.72      0.00      4.44     1     38.72      0.00      4.48     2     38.72      0.00      4.48     3     38.72      0.00      4.48     4     38.72      0.00      4.48     5     38.72      0.00      4.48     6     38.72      0.00      4.48     7     38.72      0.00      4.48     8     38.72      0.00      4.48     9     38.72      0.00      4.48    10     38.72      0.00      4.48    11     38.72      0.00      4.48    12     36.65      0.00      4.75    13     36.65      0.00      4.75    14     36.65      0.00      4.75    15     36.65      0.00      4.75    16     36.28      0.00      4.75    17     36.28      0.00      4.70    18     36.28      0.00      4.70    19     36.28      0.00      4.70    20     36.28      0.00      4.70    21     36.28      0.00      4.69    22     36.28      0.00      4.69    23     36.28      0.00      4.70
 1502285560.48     0     38.27      0.00      4.85     1     38.27      0.00      4.80     2     38.27      0.00      4.80     3     38.27      0.00      4.80     4     38.27      0.00      4.80     5     38.27      0.00      4.80     6     38.27      0.00      4.80     7     38.27      0.00      4.80     8     38.27      0.00      4.80     9     38.27      0.00      4.80    10     38.27      0.00      4.80    11     38.27      0.00      4.80    12     36.31      0.00      4.70    13     36.31      0.00      4.70    14     36.31      0.00      4.70    15     36.31      0.00      4.70    16     36.31      0.00      4.70    17     36.31      0.00      4.70    18     36.31      0.00      4.70    19     36.31      0.00      4.70    20     36.31      0.00      4.70    21     36.31      0.00      4.70    22     36.31      0.00      4.70    23     36.31      0.00      4.70
 1502285560.58     0     38.28      0.00      4.43     1     38.28      0.00      4.43     2     38.28      0.00      4.43     3     38.28      0.00      4.43     4     38.28      0.00      4.43     5     38.28      0.00      4.43     6     38.28      0.00      4.43     7     38.28      0.00      4.43     8     38.28      0.00      4.43     9     38.28      0.00      4.43    10     38.28      0.00      4.43    11     38.28      0.00      4.43    12     36.30      0.00      5.06    13     36.30      0.00      5.06    14     36.30      0.00      5.06    15     36.30      0.00      5.06    16     36.30      0.00      5.06    17     36.30      0.00      5.06    18     36.64      0.00      5.06    19     36.64      0.00      5.12    20     36.64      0.00      5.12    21     36.64      0.00      5.12    22     36.64      0.00      5.12    23     36.64      0.00      5.12
 1502285560.68     0     38.35      0.00      4.38     1     38.35      0.00      4.38     2     38.35      0.00      4.38     3     38.35      0.00      4.38     4     38.35      0.00      4.38     5     38.35      0.00      4.38     6     38.35      0.00      4.38     7     38.35      0.00      4.38     8     38.35      0.00      4.38     9     38.35      0.00      4.38    10     38.35      0.00      4.38    11     38.35      0.00      4.38    12     36.67      0.00      5.09    13     36.67      0.00      5.09    14     36.67      0.00      5.09    15     36.67      0.00      5.09    16     36.67      0.00      5.09    17     36.67      0.00      5.09    18     36.33      0.00      5.09    19     36.33      0.00      5.03    20     36.33      0.00      5.03    21     36.33      0.00      5.03    22     36.33      0.00      5.03    23     36.33      0.00      5.03
 1502285560.78     0     38.69      0.00      4.42     1     38.69      0.00      4.42     2     38.69      0.00      4.42     3     38.69      0.00      4.42     4     38.69      0.00      4.42     5     38.69      0.00      4.42     6     38.69      0.00      4.42     7     38.69      0.00      4.42     8     38.69      0.00      4.42     9     38.69      0.00      4.42    10     38.69      0.00      4.42    11     38.69      0.00      4.42    12     36.27      0.00      4.73    13     36.27      0.00      4.73    14     36.27      0.00      4.73    15     36.27      0.00      4.73    16     36.27      0.00      4.73    17     36.27      0.00      4.73    18     36.27      0.00      4.73    19     36.27      0.00      4.73    20     36.27      0.00      4.73    21     36.27      0.00      4.73    22     36.27      0.00      4.73    23     36.27      0.00      4.73
 1502285560.88     0     38.33      0.00      4.36     1     38.33      0.00      4.36     2     38.33      0.00      4.36     3     38.33      0.00      4.36     4     38.33      0.00      4.37     5     38.33      0.00      4.36     6     38.33      0.00      4.36     7     38.33      0.00      4.36     8     38.33      0.00      4.36     9     38.33      0.00      4.36    10     38.33      0.00      4.36    11     38.33      0.00      4.36    12     36.27      0.00      4.68    13     36.27      0.00      4.68    14     36.27      0.00      4.68    15     36.27      0.00      4.68    16     36.27      0.00      4.68    17     36.27      0.00      4.68    18     36.27      0.00      4.68    19     36.27      0.00      4.68    20     36.27      0.00      4.68    21     36.27      0.00      4.68    22     36.27      0.00      4.68    23     36.27      0.00      4.68
