         #Time  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM
 1499882089.35     0     34.84     21.74     17.35    12     35.63     22.49     17.34
 1499882089.45     0     35.29     22.80     13.03    12     36.22     23.69     13.02
 1499882089.55     0     34.88     21.69     17.67    12     35.77     22.55     17.59
 1499882089.65     0     35.36     22.89     12.77    12     36.20     23.70     12.86
 1499882089.75     0     35.00     21.83     17.53    12     35.84     22.63     17.53
 1499882089.85     0     35.06     22.26     14.92    12     35.51     22.80     14.62
 1499882089.95     0     35.36     22.54     15.38    12     36.15     23.28     15.47
 1499882090.05     0     34.44     21.39     17.45    12     35.64     22.42     17.69
 1499882090.15     0     35.44     22.97     12.66    12     36.32     23.82     12.54
 1499882090.25     0     34.98     21.80     17.66    12     35.82     22.59     17.67
 1499882090.35     0     35.32     22.86     12.86    12     36.10     23.60     12.75
 1499882090.45     0     34.94     21.81     17.51    12     35.84     22.65     17.51
 1499882090.55     0     34.97     22.01     15.87    12     35.81     22.80     15.97
 1499882090.65     0     34.87     22.19     14.29    12     35.70     22.99     14.30
 1499882090.75     0     34.77     21.59     17.63    12     35.54     22.31     17.68
 1499882090.85     0     35.42     22.96     12.72    12     36.27     23.78     12.82
 1499882090.95     0     34.93     21.75     17.53    12     35.80     22.57     17.53
 1499882091.05     0     35.00     22.66     12.73    12     35.81     23.43     12.66
 1499882091.15     0     34.97     21.81     17.49    12     35.82     22.61     17.58
 1499882091.25     0     35.28     22.23     15.55    12     35.83     22.88     15.62
 1499882091.35     0     35.14     22.48     14.78    12     36.09     23.36     14.71
 1499882091.45     0     34.42     21.37     17.33    12     35.67     22.43     17.55
 1499882091.55     0     35.27     22.82     12.83    12     36.25     23.75     12.83
 1499882091.65     0     35.03     21.86     17.43    12     35.84     22.62     17.52
 1499882091.75     0     35.07     22.50     13.52    12     35.85     23.23     13.48
 1499882091.85     0     35.39     22.29     16.68    12     35.94     22.91     16.81
 1499882091.95     0     34.77     21.67     17.14    12     35.70     22.56     17.19
 1499882092.05     0     35.21     22.70     13.09    12     36.12     23.55     13.12
 1499882092.15     0     34.47     21.42     17.41    12     35.74     22.50     17.72
 1499882092.25     0     35.25     22.80     12.75    12     36.23     23.72     12.77
 1499882092.35     0     34.87     21.71     17.60    12     35.80     22.58     17.60
 1499882092.45     0     34.94     22.20     14.40    12     35.79     23.01     14.37
 1499882092.55     0     35.15     22.29     15.82    12     36.10     23.19     15.98
 1499882092.65     0     34.68     21.51     17.66    12     35.62     22.40     17.75
 1499882092.75     0     35.37     22.92     12.63    12     36.31     23.81     12.60
 1499882092.85     0     34.87     21.70     17.44    12     35.80     22.56     17.76
 1499882092.95     0     35.24     22.78     12.86    12     36.23     23.72     12.78
 1499882093.05     0     34.87     21.71     17.58    12     35.86     22.64     17.68
 1499882093.15     0     34.92     22.05     15.52    12     35.87     22.95     15.47
 1499882093.25     0     35.12     22.41     14.87    12     36.07     23.31     14.75
 1499882093.35     0     34.72     21.54     17.54    12     35.71     22.47     17.63
 1499882093.46     0     35.33     22.87     12.73    12     36.33     23.83     12.83
 1499882093.56     0     34.91     21.74     17.53    12     35.49     22.39     17.49
 1499882093.66     0     35.01     22.47     13.36    12     35.97     23.39     13.29
 1499882093.76     0     35.01     21.97     16.95    12     36.34     23.10     17.25
 1499882093.86     0     34.74     21.70     16.76    12     35.76     22.67     16.94
 1499882093.96     0     35.14     22.58     13.48    12     36.18     23.58     13.49
 1499882094.06     0     34.78     21.60     17.43    12     35.77     22.54     17.71
 1499882094.16     0     35.29     22.83     12.75    12     35.89     23.51     12.64
 1499882094.26     0     34.53     21.49     17.37    12     35.82     22.59     17.40
 1499882094.36     0     35.20     22.35     14.59    12     35.79     23.04     14.41
 1499882094.46     0     35.20     22.32     15.97    12     36.19     23.24     16.04
 1499882094.56     0     34.37     21.32     17.53    12     35.66     22.42     17.66
 1499882094.66     0     35.33     22.88     12.63    12     36.32     23.82     12.82
 1499882094.76     0     34.80     21.63     17.62    12     35.77     22.54     17.71
 1499882094.86     0     35.19     22.73     12.67    12     36.21     23.69     12.78
 1499882094.96     0     34.93     21.76     17.59    12     35.84     22.62     17.38
 1499882095.06     0     34.94     22.08     15.14    12     35.88     22.96     15.39
 1499882095.16     0     35.06     22.32     14.92    12     36.09     23.29     15.05
 1499882095.26     0     34.70     21.52     17.65    12     35.66     22.42     17.64
 1499882095.36     0     35.30     22.84     12.74    12     36.29     23.79     12.65
 1499882095.46     0     34.88     21.71     17.63    12     35.46     22.34     17.50
 1499882095.56     0     35.07     22.53     13.22    12     36.06     23.49     13.07
 1499882095.66     0     35.06     21.97     17.05    12     35.97     22.81     17.29
 1499882095.76     0     34.82     21.81     16.65    12     35.75     22.71     16.60
 1499882095.86     0     35.20     22.61     13.51    12     36.11     23.46     13.83
 1499882095.96     0     34.56     21.51     17.49    12     35.73     22.49     17.61
 1499882096.06     0     35.29     22.83     12.75    12     36.25     23.74     12.66
 1499882096.16     0     34.91     21.74     17.62    12     35.81     22.59     17.50
 1499882096.26     0     34.85     22.17     14.03    12     35.76     23.04     14.17
 1499882096.36     0     35.46     22.45     16.06    12     36.07     23.13     16.23
 1499882096.46     0     34.29     21.25     17.51    12     35.63     22.40     17.66
 1499882096.56     0     35.32     22.86     12.87    12     36.29     23.80     12.72
 1499882096.66     0     34.82     21.65     17.63    12     35.77     22.54     17.71
 1499882096.76     0     35.19     22.72     12.86    12     36.19     23.69     12.77
 1499882096.86     0     34.93     21.75     17.65    12     35.84     22.63     17.68
 1499882096.96     0     34.72     21.94     14.92    12     35.67     22.84     14.88
 1499882097.06     0     35.10     22.31     15.44    12     36.07     23.25     15.45
 1499882097.16     0     34.64     21.47     17.63    12     35.64     22.40     17.73
 1499882097.26     0     35.27     22.81     12.84    12     36.30     23.80     12.73
 1499882097.36     0     34.76     21.59     17.64    12     35.80     22.56     17.62
 1499882097.46     0     35.07     22.61     12.84    12     36.08     23.58     12.87
 1499882097.56     0     34.82     21.67     17.49    12     35.48     22.40     17.41
 1499882097.66     0     34.80     21.86     15.87    12     36.15     23.03     16.29
 1499882097.77     0     35.07     22.43     14.26    12     36.10     23.41     14.35
 1499882097.87     0     34.76     21.58     17.55    12     35.73     22.49     17.64
 1499882097.97     0     35.23     22.77     12.85    12     35.91     23.53     12.53
 1499882098.07     0     34.91     21.74     17.61    12     35.83     22.60     17.59
 1499882098.17     0     34.89     22.27     13.71    12     35.88     23.22     13.58
 1499882098.27     0     35.03     22.08     16.49    12     36.01     22.98     16.54
